Station,QTH,PrimaryPrefix,Continent,CQZone,ITUZone
V51YJ,JG87NJ,V5,AF,38,57
VE6AO,DO31AC,VE,NA,4,2
DL8TG,JO52IJ,DL,EU,14,28
W3DAN,EN91EF,K,NA,5,8
VY0ERC,ER60TB,VE,NA,2,4
BH4RRG1,OM92IC,BY,AS,24,44
N7TUG,CN87TQ,K,NA,3,6
LZ5DI,KN12QP,LZ,EU,20,28
KE3BK,CM97fs,K,NA,3,6
BD7JNA,OL68ME,BY,AS,24,44
TF3Y,HP94BD,TF,EU,40,17
OH8KA,KP25QC,OH,EU,15,18
DK8NE,JO50AL,DL,EU,14,28
EA1URA,IN73DK,EA,EU,14,37
W4AX,EM74TC,K,NA,5,8
JN1ILK,PM95ET,JA,AS,25,45
WA7LNW,DM37IE,K,NA,3,6
GM6DX,IO75XV,GM,EU,14,27
VR2FUN-74,OL63XX,VR,AS,24,44
UA4M,LO44WI,UA,EU,16,29
DK0TE,JN47RP,DL,EU,14,28
DE1LON,JO31HG,DL,EU,14,28
DL0LA,JN68CM,DL,EU,14,28
ZL3X,RE66IR,ZL,OC,32,60
K3LR,EN91SE,K,NA,5,8
N2QT,FM07II,K,NA,5,8
N8DXE,EN91EF,K,NA,4,8
KV4TT,FM03PT,K,NA,5,8
DL8LAS,JO54EF,DL,EU,14,28
HG5FMV,JN97KR,HA,EU,15,28
UA0S,OO22GE,UA9,AS,18,32
WS3W,FM19NG,K,NA,5,8
G0KTN,IO81TI,G,EU,14,27
AC0C-1,EM28QP,K,NA,4,7
G4ZFE,IO91PK,G,EU,14,27
E77DX,JN84IX,E7,EU,15,28
NN3RP,FM18LW,K,NA,5,8
EA2CW,IN83MG,EA,EU,14,37
ON6ZQ,JO20EQ,ON,EU,14,27
SM7IUN,JO65MR,SM,EU,14,18
9M2CNC,OJ03TB,9M2,AS,28,54
BH4DEG,OM81NL,BY,AS,24,44
HB9BXE,JN47EB,HB,EU,14,28
UA3REO,LO02RR,UA,EU,16,29
PA0MBO,JO32KE,PA,EU,14,27
KH6LC,BK29CW,KH6,OC,31,61
BG4GOV,PM01QA,BY,AS,24,44
OK4QRO,JN79XN,OK,EU,15,28
WE9V,EN52XN,K,NA,4,8
W2NAF,FN21EI,K,NA,5,8
S50ARX,JN65TW,S5,EU,15,28
JP1LRT,PM95TQ,JA,AS,25,45
DK9IP,JN48FX,DL,EU,14,28
LA6TPA,JP54RL,LA,EU,14,18
G3XBI,IO81MF,G,EU,14,27
OE9GHV,JN47WK,OE,EU,15,28
W3RGA,FN10pv,K,NA,5,8
DL1HWS,JO61AQ,DL,EU,14,28
7N4XCV,PM95PW,JA,AS,25,45
JJ2VLY,PM95JG,JA,AS,25,45
BG8FZU,OM20BT,BY,AS,24,43
HB9DCO,JN37SM,HB,EU,14,28
3V8SS,JM54IQ,3V,AF,33,37
W7MRF,DM43BI,K,NA,3,6
UY2RA,KO51AM,UR,EU,16,29
BG4WOM,OM91JQ,BY,AS,24,44
JA1JRS,PM95VS,JA,AS,25,45
WW1L,FN54OM,K,NA,5,8
IK3STG,JN55XK,I,EU,15,28
K9LC,EN52MG,K,NA,4,8
DE2SAX,JN49XK,DL,EU,14,28
JG1DLY,QM05DN,JA,AS,25,45
SV1CDN,KM17TX,SV,EU,20,28
XQ6MO,FF31QG,CE,SA,12,14
BG4GOV3,PM01UB,BY,AS,24,44
BH4XDZ,OM94NO,BY,AS,24,44
W2MV,FN31BA,K,NA,5,8
VE7CC,CN89RE,VE,NA,3,2
S53M,JN86CR,S5,EU,15,28
DM5GG,JO61UE,DL,EU,14,28
NC7J,DN31XB,K,NA,3,6
NA0B,FN00AM,K,NA,5,8
VU2PTT,MK82TX,VU,AS,22,41
BH3BBJ,OM89PD,BY,AS,24,44
G0TMX,JO02IF,G,EU,14,27
KM3T-2,FN42et,K,NA,5,8
W8WWV,EN91HM,K,NA,4,8
BD8BIN,OM20BP,BY,AS,24,43
GI4DOH,IO74DP,GI,EU,14,27
K3PA-1,EM29MD,K,NA,4,7
KQ8M,EN91ip,K,NA,4,8
5W1SA,AH46cc,5W,OC,32,62
TF4M,HP85FP,TF,EU,40,17
3B8CW,LG89sx,3B8,AF,39,53
K7EK,EM77AT,K,NA,4,8
DF7GB,JN49CX,DL,EU,14,28
HG8A,JN96RK,HA,EU,15,28
YU1EW,KN04CP,YU,EU,15,28
VK3RASA,QF21WV,VK,OC,30,59
RU9CZD,MO07OD,UA9,AS,17,30
W4KAZ,FM05OS,K,NA,5,8
NR4U,EM88LL,K,NA,4,8
K1TTT,FN32LL,K,NA,5,8
K4PP,EM64PT,K,NA,4,8
DD5XX,JN48PS,DL,EU,14,28
DJ9IE,JO31VN,DL,EU,14,28
WZ7I,FN20KK,K,NA,5,8
JI1HFJ,PM95SS,JA,AS,25,45
ZF1A,EK99IG,ZF,NA,8,11
PA5KT,JO11WL,PA,EU,14,27
IZ2CPS,JN45SS,I,EU,15,28
IK6HIR,JN63KW,I,EU,15,28
SM0TCZ,JO89XF,SM,EU,14,18
VE2WU,FN35AA,VE,NA,5,4
CX6VM,GF27XU,CX,SA,13,14
N4ZR,FM19RL,K,NA,5,8
ZL2KS,RE68XM,ZL,OC,32,60
MW0MUT,IO81LQ,GW,EU,14,27
DO4DXA,JN58QC,DL,EU,14,28
W1NT-2,FN42LU,K,NA,5,8
KG7V,CN77WA,K,NA,3,6
KL7RA,BP40JS,KL,NA,1,1
VK2GEL,QF56OC,VK,OC,30,59
HG2EWS,JN87WC,HA,EU,15,28
DJ2BC,JO63PO,DL,EU,14,28
DR4W,JN59SV,DL,EU,14,28
LZ7AA,KN12qq,LZ,EU,20,28
DF2JP,JO31FP,DL,EU,14,28
W1NT-6,FN42LU,K,NA,5,8
LY3G,KO05NS,LY,EU,15,29
DL9GTB,JO63LX,DL,EU,14,28
N4SVC,EM80MI,K,NA,5,8
BD7DT,OL67DN,BY,AS,24,43
RZ3QS,KO91SS,UA,EU,16,29
EA5WU,IM99WU,EA,EU,14,37
J68HZ,FK93LU,J6,NA,8,11
DF0RW,JO31GG,DL,EU,14,28
HA5PP,JN97MO,HA,EU,15,28
VK2EBN,QF57LL,VK,OC,30,59
DP7D,JO32PC,DL,EU,14,28
HB9RB,JN37TO,HB,EU,14,28
DM6EE,JO52KJ,DL,EU,14,28
JF4FUF,PM75CM,JA,AS,25,45
W3UA,FN42gv,K,NA,5,8
KI4PAD,FM05pt,K,NA,5,8
ND7K,DM34OB,K,NA,3,6
PA5WT,JO22HG,PA,EU,14,27
N6TV,CM97CF,K,NA,3,6
LZ1UQ-1,KN12OQ,LZ,EU,20,28
G4BVY-3,IO82UD,G,EU,14,27
ET3AA,KJ99JA,ET,AF,37,48
PS8CW,GI94OW,PY,SA,11,13
3D2AG,RH91FV,3D2,OC,32,56
CT2IWW,IN51WF,CT,EU,14,37
EU1ST,KO33TU,EU,EU,16,29
MM0ZBH,IO86IB,GM,EU,14,27
CT7ANO,IM58HU,CT,EU,14,37
G4AON,IO93PS,G,EU,14,27
BI4MPH,PM07QM,BY,AS,24,44
OK1FCJ,JO70GA,OK,EU,15,28
TI7W,EK70LR,TI,NA,7,11
OZ6ADL,JO46UU,OZ,EU,14,18
DK1MAX,JN58SP,DL,EU,14,28
W6YX,CM87VJ,K,NA,3,6
DL1AXX,JO31TM,DL,EU,14,28
EY8ZE,MM48JN,EY,AS,17,30
F4VSQ,JN23QF,F,EU,14,27
AA4SS,FM07AB,K,NA,5,8
SE5E,JO89LW,SM,EU,14,18
F6IIT,JN06FQ,F,EU,14,27
S53WW,JN76HE,S5,EU,15,28
BD4QJP,PM01AA,BY,AS,24,44
VE3NZ,FN03HT,VE,NA,4,4
S51TC,JN76GC,S5,EU,15,28
S55OO,JN76HD,S5,EU,15,28
YL2VW,KO26AU,YL,EU,15,29
7L4IOU,PM95WR,JA,AS,25,45
F8DGY,JN18GM,F,EU,14,27
F4VVG,JN48BX,F,EU,14,27
EI3KD,IO51VW,EI,EU,14,27
IV3DXW,JN65QQ,I,EU,15,28
DD0VS,JN59PM,DL,EU,14,28
PE5TT,JO21TV,PA,EU,14,27
BD8CS,OM21WI,BY,AS,24,43
N8AI,EL29CO,K,NA,4,7
G0TTV,JO02PN,G,EU,14,27
F5VLY,JN04HF,F,EU,14,27
OL9A,JN79XN,OK,EU,15,28
BH4RRG181,OM92IC,BY,AS,24,44
BD3CB,OM88QX,BY,AS,24,44
K5KHK,FN13DC,K,NA,5,8
DH3AKA,JO52GJ,DL,EU,14,28
NU6XB,CM87UV,K,NA,3,6
W6BB,CM87UV,K,NA,3,6
EA2NN,IM69QX,EA,EU,14,37
JH4UTP,PM64VN,JA,AS,25,45
W9XG,EN41RM,K,NA,4,8
OH6BG,KP03QA,OH,EU,15,18
WI5V,EM15FI,K,NA,4,7
BH4RRG182,OM92IC,BY,AS,24,44
G0TAI,IO92PB,G,EU,14,27
UC4C,LO21TM,UA,EU,16,29
PY5DK,GG37KB,PY,SA,11,15
BH4RRG180,OM92IC,BY,AS,24,44
IK6HSM,JN63PN,I,EU,15,28
IK2LFF,JN45KW,I,EU,15,28
S51TC-1,JN76GC,S5,EU,15,28
BH4RRG02,OM92JD,BY,AS,24,44
AA8FM,EM99VH,K,NA,5,8
S50C-1,JN76HD,S5,EU,15,28
BH3DBF,OM89CX,BY,AS,24,44
JH8KYU,QM05dq,JA,AS,25,45
BH4XDZ-1,OM94NO,BY,AS,24,44
VE6WZ-1,DO21ST,VE,NA,4,2
PD2RPS,JO22VW,PA,EU,14,27
DG6FL,JO40DA,DL,EU,14,28
PE1ITR,JO21QK,PA,EU,14,27
EA8BFK,IL38BO,EA8,AF,33,36
OH6LI,KP10QH,OH,EU,15,18
DM7EE,JO52JJ,DL,EU,14,28
TZ4AM,IK52XO,TZ,AF,35,46
PA8MM,JO22LL,PA,EU,14,27
DP6M,JN48FX,DL,EU,14,28
2E0EBM,JO01FQ,G,EU,14,27
9A1CIG,JN83FM,9A,EU,15,28
BG7BES,OL67DN,BY,AS,24,43
BU2EQ,PL05RD,BV,AS,24,44
OE8TED,JN76AO,OE,EU,15,28
S50C-2,JN76HD,S5,EU,15,28
DL0PF,JN68RN,DL,EU,14,28
M0WJG,IO83UO,G,EU,14,27
G0FRE,IO82UC,G,EU,14,27
DL1AMQ,JO50uu,DL,EU,14,28
N9XG,EN60VL,K,NA,4,8
DU3TW,PK05MN,DU,OC,27,50
F5AHD,JN37RO,F,EU,14,27
G4IRN,IO82MO,G,EU,14,27
S50C-3,JN76HD,S5,EU,15,28
N8OIF,EM99GK,K,NA,4,8
F4EGZ,JN15MR,F,EU,14,27
PC5Q,JO22UB,PA,EU,14,27
N6WIN-7,DM34OB,K,NA,3,6
KS4XQ,EM84QS,K,NA,5,8
DL0LBS,JO50TK,DL,EU,14,28
S50C,JN76HD,S5,EU,15,28
F4EGZ,JN16JL,F,EU,14,27
JQ1BVI,PM95QR,JA,AS,25,45
XV9BPO,OK30IT,3W,AS,26,49
F4FPR,IN88DI,F,EU,14,27
BI4RFP,OM94OO,BY,AS,24,44
DM5GG-2,JO61UE,DL,EU,14,28
PA3EWP,JO21GU,PA,EU,14,27
WP3R,FK68OJ,KP4,NA,8,11
R9IR,NO26KD,UA9,AS,18,31
VE3UDP,EN93UW,VE,NA,4,4
DK0VH-5,JO31HB,DL,EU,14,28
YU7GM,KN05EI,YU,EU,15,28
GB7MNK,IO92PB,G,EU,14,27
KL2S,BP51IO,KL,NA,1,1
RA3FY,KO85WQ,UA,EU,16,29
K1RA,FM18CR,K,NA,5,8
KO7SS,DM42OK,K,NA,3,6
G4PNF,JO02IF,G,EU,14,27
E20WUE,OK03GX,HS,AS,26,49
W2AXR,FN03NG,K,NA,5,8
BG8BIN,OM20BP,BY,AS,24,43
M0BLF,JO02bg,G,EU,14,27
DN7DX,JN58QC,DL,EU,14,28
TK0C,JN42JO,TK,EU,15,28
UA4CC,LO31DN,UA,EU,16,29
